Avg. Area Income,House Age,Number of Rooms,Number of Bedrooms,Area Population,Price,Address
79545.45857,20,4,2,23086.8005,1059033.558,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79248.64245,9,6,4,40173.07217,1505890.915,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287.06718,20,7,3,36882.1594,1058987.988,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345.24005,0,3,2,34310.24283,1260616.807,"USS Barnett
FPO AP 44820"
59982.19723,20,2,2,26354.10947,630943.4893,"USNS Raymond
FPO AE 09386"
80175.75416,10,4,2,26748.42842,1068138.074,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698.46343,20,4,2,60828.24909,1502055.817,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394.33928,5,3,1,36516.35897,1573936.564,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59927.66081,9,6,4,29387.396,798869.5328,"USS Gilbert
FPO AA 20957"
81885.92718,3,2,4,40149.96575,1545154.813,"Unit 9446 Box 0958
DPO AE 97025"
80527.47208,3,6,1,47224.35984,1707045.722,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50593.6955,2,5,1,34343.99189,663732.3969,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39033.80924,11,7,1,39220.36147,1042814.098,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73163.66344,,,1,32326.12314,1291331.518,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391.38018,,,3,35521.29403,1402818.21,"PSC 5330, Box 4420
APO AP 08302"
73091.86675,5,,4,23929.52405,1306674.66,"2278 Shannon View
North Carriemouth, NM 84617"
79706.96306,15,,5,39717.81358,1556786.6,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61929.07702,5,,2,24595.9015,528485.2467,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63508.1943,3,,1,35719.65305,1019425.937,"Unit 7424 Box 2786
DPO AE 71255"
62085.2764,14,,3,44922.1067,1030591.429,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
86294.99909,0,,5,47560.77534,2146925.34,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
60835.08998,0,,3,45574.74166,929247.5995,"USNS Brown
FPO AP 85833"
64490.65027,16,,6,40358.96011,718887.2315,"95198 Ortiz Key
Port Sara, TN 24541-2855"
60697.35154,17,,5,28140.96709,743999.8192,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
59748.85549,12,,2,27809.98654,895737.1334,"24282 Paul Valley
West Perry, MI 03169-5806"
56974.47654,16,,3,40694.86951,1453974.506,"61938 Brady Falls
Lewisfort, DE 61227"
82173.62608,6,,5,38853.91807,1125692.507,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
64626.88098,12,,4,27784.74228,975429.4928,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
90499.05745,10,,1,33970.16499,1240763.766,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
59323.7921,13,,3,37520.65773,1577017.76,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
77811.52203,4,,4,33754.7378,1246830.188,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
68652.60921,9,5,,39355.62573,1170720.894,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
55041.35158,9,7,,30122.47348,1071279.21,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
50218.70846,4,3,,16810.78331,534305.1323,"039 Jordan Pike
Emilyville, ID 27442"
55909.3223,15,7,,22355.23541,936368.9634,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
74372.81021,17,6,,39395.15118,1199193.831,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
78667.9046,8,7,,27637.65655,1233220.009,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
78699.5151,19,2,,22836.60757,1081150.125,"7585 Lynn Loop
East Judy, WV 73336"
53128.18545,16,5,,32947.71196,524712.7661,"Unit 1388 Box 9350
DPO AP 70848"
17796.63119,7,7,,47162.18364,302355.836,"9932 Eric Circles
Lake Martha, WY 34611-6127"
58566.84936,0,4,,39705.46496,1026817.4,"7896 Walker Spring
Loriport, MH 72956"
75537.79451,3,6,,32778.19534,1762214.68,"549 Darren Plaza
Lake Kevin, UT 27155"
46147.05306,12,7,,27161.12861,882057.1706,"90634 Michelle Valleys
North Victoria, WV 99370"
70421.47649,3,6,,43183.92849,1744932.211,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
62614.42062,10,4,,26888.57956,1153871.47,"43087 Jerome Field
West Deborah, SD 49213"
66394.87159,8,5,,39741.07751,1499988.88,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
73946.85107,6,2,,35261.12702,1109588.38,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
69144.74571,16,2,,19030.61549,980177.3051,"Unit 8108 Box 5159
DPO AP 04678"
77278.69703,9,7,,21725.95429,1323952.027,"08639 Garcia Port
Anthonybury, CT 17971"
86754.19663,14,5,,43017.44076,1662494.736,"91863 Curtis Point
New Richard, AK 99996-7554"
74399.84098,13,2,,41084.66282,1417819.74,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
49408.19834,5,2,1,26881.1306,549976.1456,"7796 Joseph Burg
Danielsside, RI 70370"
62279.79005,15,6,1,35263.65314,1054770.981,"173 Mendoza Land
West John, NJ 57690"
73078.20409,7,3,2,54915.96178,1415647.553,"3288 Lee Pass
South Julieton, PW 02759-4964"
72942.70506,11,3,3,24377.90905,948788.2757,"86908 Marshall Port Suite 252
Scotttown, NM 69143"
63819.62285,10,4,6,27825.57206,1159596.519,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
73265.44989,5,7,5,21030.96618,1547133.396,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
68488.13117,3,3,4,18267.95471,1186688.506,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
55193.85745,3,2,1,32537.81877,772111.9721,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
77434.68924,20,2,3,36252.34068,1172730.156,"4872 Delgado Ramp
North James, IA 36544"
66158.88159,10,3,5,37098.74217,1111085.017,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
60502.90933,8,7,4,33579.63151,1022781.171,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
60910.89379,11,3,5,43347.804,1274474.546,"PSC 9354, Box 0703
APO AA 58696-1278"
73931.97852,0,4,4,36543.06728,1213530.85,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847"
59539.94845,13,3,2,58600.82715,1411730.477,"122 Russo Neck
South Kevin, KY 20712-5282"
56547.50719,6,4,5,37585.27458,858685.5659,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460"
65950.34702,13,7,2,40110.8476,1200961.821,"7125 Mullins Cliff
Maryborough, WY 66971"
74533.16208,18,5,2,49481.56581,1520234.229,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319"
66422.91905,12,4,3,31019.32482,1360908.32,"61090 Griffith Ridges
Craigstad, AK 28807-8602"
74334.49485,4,4,5,41640.43566,1360920.53,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483"
63538.34616,18,6,1,43282.183,1146532.455,"10973 Clark Trafficway
Meyersbury, LA 63237"
83953.10484,20,7,5,37283.35765,1789098.521,"91733 Baker Orchard
South Kyle, KS 37301"
57279.06358,2,2,1,44023.79068,852099.464,"024 William Course
East Charlotteview, DE 69073-3104"
56553.55025,6,2,5,29682.40986,746096.7289,"PSC 4455, Box 3268
APO AP 45454"
75795.57598,2,5,6,33197.77774,1534479.907,"562 Brown Junction Suite 282
Christopherborough, KS 20719"
70848.78866,8,5,2,40458.73587,1215608.531,"USCGC Thompson
FPO AA 13237-3887"
59787.4045,4,7,3,32402.10755,941594.3284,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783"
64826.37189,13,7,2,60286.0431,1204598.037,"Unit 2139 Box 3667
DPO AP 49517"
65925.8538,1,7,6,34171.36007,1597655.258,"253 Golden Island
East Donald, CT 91882"
64419.25264,0,3,6,39318.17075,1492011.496,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205"
58544.4603,11,5,4,30865.58695,1421216.504,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398"
68791.79169,19,6,5,48423.32244,1132522.901,"2833 Townsend Cliffs
New Tommy, MP 86130-3426"
82061.5652,9,3,3,36271.4085,1102821.438,"708 Pena Ramp
Terryburgh, CA 31572-1304"
80659.52544,19,3,1,52947.03636,1856211.35,"8030 Ruiz Dale
Shermanchester, KY 56950-5684"
66668.09352,15,7,1,47075.21223,1687998.933,"Unit 3857 Box 9497
DPO AE 92239"
64721.5645,5,4,3,36115.81636,1063423.007,"042 Mitchell Mountains
Adamsview, OR 44424"
65199.98994,7,5,6,28366.03543,1177289.886,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759"
74579.98953,8,7,2,42806.14664,1173474.379,"38449 Shaw Glen
Pattonside, TX 98415"
76273.67033,15,5,3,46974.57879,1637259.999,"82387 Hensley Bypass
Danielmouth, ME 30791"
67561.94206,18,3,4,35517.54187,1238938.291,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
48904.98327,3,6,5,32960.75307,201898.0866,"2124 Garcia Viaduct
North Kellytown, DC 30864"
72145.96721,2,3,6,28882.90085,1439506.102,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708"
70805.61068,18,3,2,29268.82674,585608.6326,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448"
65383.33792,5,5,1,35114.40246,1294685.159,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159"
95450.29309,19,6,4,39388.51552,2014851.344,"035 Mark Bridge
West Craig, MT 78649"
73698.69636,17,4,6,51815.09642,1840236.006,"69600 Wilson Rue
Elizabethland, PW 17767-2884"
66263.9105,8,2,6,49829.9515,1441421.913,"001 Steve Plaza
Jessicastad, UT 25190"
75394.75958,14,3,5,22268.07531,1498640.551,"238 Anthony Drive
Acostahaven, AS 62753-6637"
65984.75064,19,6,1,21867.47694,954746.5764,"01818 Wilson Spurs
West Andreaton, SD 69568-7005"
66477.26279,3,2,4,32458.9867,1124635.932,"95779 Walton Square
Bakershire, PR 49599"
69284.25964,9,3,5,40282.72428,1169944.248,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969"
70404.4961,7,4,6,37127.9255,1114430.953,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246"
74218.48902,5,7,6,46770.66097,1783534.839,"106 Williams Well Apt. 657
Samanthaview, PR 87811"
63441.71465,15,5,3,48061.75267,1302933.248,"Unit 3405 Box 4348
DPO AP 68816-2990"
57493.92457,4,7,1,47039.21532,1241483.612,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287"
81543.77732,17,7,3,9816.300885,954114.544,"Unit 5889 Box 7282
DPO AE 41177-0399"
78633.97376,6,2,5,43728.80349,1555320.5,"075 Andrea Green Suite 201
Johnshire, KS 50389"
52202.85372,0,2,2,42165.81246,404976.3659,"6811 Spears Trail Suite 081
East Troy, MS 43910"
67980.38878,8,6,5,25909.0792,1073183.76,"69401 Danielle Motorway
New Dennis, IL 53971"
78568.44916,16,6,5,41016.64709,1422195.879,"2276 Riley Flats Suite 975
Johnmouth, NH 39983"
55472.65483,2,6,3,15353.95643,340605.2113,"91111 Crane Spur
Kathleenmouth, ME 43022-3191"
67579.23479,8,2,4,21762.94969,1170959.526,"744 Hill Ports
Mooreside, MH 20945-2825"
61456.1507,4,3,1,30821.41209,942838.1647,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176"
60815.39039,5,2,2,31233.64935,1401613.92,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788"
51217.18116,15,6,4,47089.47508,1175504.486,"USS Harrington
FPO AE 12326"
63027.67471,17,7,4,35991.72064,608794.2467,"246 Michele Lock Suite 093
South Michellemouth, VI 62800"
62484.8553,13,4,2,26882.65179,946943.0362,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243"
73923.46627,7,6,4,58745.31203,1819900.637,"232 Allen Ridge
West Jasonview, CT 93021"
79737.60976,1,3,1,28307.31433,1463130.273,"5042 Ricky Road
New Candice, MN 40661-8809"
63890.47157,12,3,1,43416.49782,1252391.18,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346"
67310.03695,18,3,5,43310.61243,1714445.175,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307"
73145.73022,2,2,3,49463.37888,1291759.393,"8533 Sparks Lodge
New Kevin, GA 98179"
86924.35877,4,7,4,28719.41089,1809154.289,"922 Mark Lodge
Matthewton, ID 71131-3139"
74384.10563,16,3,5,17117.44367,1200539.361,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985"
67477.78818,11,2,6,29763.92535,1300265.21,"PSC 8479, Box 0952
APO AA 33741"
71202.95692,20,6,4,34207.39721,997448.7281,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463"
85845.3178,20,6,3,46477.67868,2152959.409,"255 Sosa Pines Suite 751
Wilsonview, MT 31615"
72138.87048,3,6,2,35799.63827,1629983.847,"156 Conner Lane
East Brittany, MI 26733"
44806.00516,15,2,2,57390.89007,497579.4466,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408"
67504.17846,19,2,1,37441.12054,890112.5493,"67610 Smith Knolls
Brendaberg, MA 55188-7972"
74706.10053,14,3,1,39680.60932,1064685.699,"504 Robertson Streets
Jamesshire, WA 56754"
68898.34591,12,2,5,39515.57156,1530124.016,"777 Ross Crossroad
Kaiserville, RI 24445"
58118.01816,19,6,4,35598.39044,1246246.828,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408"
77643.28309,0,4,4,35512.25505,1240754.932,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552"
67769.82559,6,3,1,33254.60341,1760734.69,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101"
